Identifiant GPSO;Identifiant Aménageur;Nom de la station;Commune;Code INSEE;Localisation;Complément de Localisation;Type de borne;Type de prise;Emplacement;Nombre de places;Nombre de place PMR;Etat;Observation sur l'état;Type de recharge;Aménageur;Opérateur;Nombre de points de charge;Accès;Année de mise en service;geo_shape;Géolocalisation
IRVE1;7;110 RUE GALLIENI - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;110-112  RUE GALLIENI;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.2397476996581123, 48.83662760000387], ""type"": ""Point""}";48.83662760000387, 2.2397476996581123
IRVE117;;RUE DE SAINT CLOUD - VILLE D'AVRAY;VILLE D'AVRAY;92077;54  RUE DE SAINT CLOUD;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.192671889972127, 48.82863019527387], ""type"": ""Point""}";48.82863019527387, 2.192671889972127
IRVE11;19;105 RUE JEAN JAURES - VANVES;VANVES;92075;RUE JEAN JAURES;Face au 105;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.29023207216022, 48.82594971840138], ""type"": ""Point""}";48.82594971840138, 2.29023207216022
IRVE16;;27 BOULEVARD GALLIENI - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;27  BOULEVARD GALLIENI;;IES;2EU et 2EF;Voirie;6;;En service;;Semi-accélérée - 7kW;e55c;e55c;6;Gratuit;2020;"{""coordinates"": [2.2676586525265288, 48.82749927128486], ""type"": ""Point""}";48.82749927128486, 2.2676586525265288
IRVE18;133;RUE SAINT-EXUPERY - MEUDON;MEUDON;92048;1  RUE SAINT EXUPERY;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Normale - 7kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.227659228596438, 48.78789448071138], ""type"": ""Point""}";48.78789448071138, 2.227659228596438
IRVE35;116;245 BOULEVARD JEAN JAURES - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;245  BOULEVARD JEAN JAURES;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.246360372667495, 48.82867417839074], ""type"": ""Point""}";48.82867417839074, 2.246360372667495
IRVE37;48;15 AVENUE CHARLES DE GAULLE - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;15  AVENUE CHARLES DE GAULLE;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.2377485360046436, 48.850061686716295], ""type"": ""Point""}";48.850061686716295, 2.2377485360046436
IRVE47;180;RUE GEORGES BONNEFOUS - SEVRES;SEVRES;92072;RUE GEORGES BONNEFOUS;;Lafon Pulse;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.213616776870016, 48.82140289410063], ""type"": ""Point""}";48.82140289410063, 2.213616776870016
IRVE48;163;RUE RIOCREUX - SEVRES;SEVRES;92072;RUE RIOCREUX;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.200168588624208, 48.82614430759972], ""type"": ""Point""}";48.82614430759972, 2.200168588624208
IRVE49;33;213 RUE DE VERSAILLES - VILLE-D’AVRAY;VILLE D'AVRAY;92077;213  RUE DE VERSAILLES;;Ancienne borne Autolib;Type 2 et domestique;Voirie;5;;En service;;Normale - 7kW;SIGEIF;Izivia;5;Gratuit;2020;"{""coordinates"": [2.1649225913856855, 48.81800097504216], ""type"": ""Point""}";48.81800097504216, 2.1649225913856855
IRVE58;;59 BOULEVARD GALLIENI - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;59  BOULEVARD GALLIENI;;Proximité;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;Metropolis;Metropolis;6;Gratuit;2021;"{""coordinates"": [2.2678595191844013, 48.824931948640064], ""type"": ""Point""}";48.824931948640064, 2.2678595191844013
IRVE72;;151 QUAI DU PRESIDENT ROOSEVELT - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;151  QUAI DU PRESIDENT ROOSEVELT;;Express;Combo, CHAdeMO et domestique;Voirie;4;;En service;;Rapide - 50kW DC;Metropolis;Metropolis;4;Gratuit;2022;"{""coordinates"": [2.2607194467437908, 48.82797163155033], ""type"": ""Point""}";48.82797163155033, 2.2607194467437908
IRVE116;;1 RUE DE L'EGALITE - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;1  RUE DE L'EGALITE;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Semi-accélérée - 7kW;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.2656172934139485, 48.81945686204906], ""type"": ""Point""}";48.81945686204906, 2.2656172934139485
IRVE79;;PARKING LES PASSAGES - RUE D'ARGUESSEAU - BOULOGNE BILLANCOURT;BOULOGNE-BILLANCOURT;92012;161  RUE D'AGUESSEAU;Parking Les Passages;;;Parking en ouvrage;2;;En service;;;;;;;;"{""coordinates"": [2.238003623618237, 48.836867731707486], ""type"": ""Point""}";48.836867731707486, 2.238003623618237
IRVE78;;PARKING ATRIUM AV ROGER SALENGRO - CHAVILLE;CHAVILLE;92022;965  AVENUE ROGER SALENGRO;Parking Atrium;;;Parking en ouvrage;2;;En service;;;;;;;;"{""coordinates"": [2.1921546921516866, 48.81254588338159], ""type"": ""Point""}";48.81254588338159, 2.1921546921516866
IRVE134;;85 RUE JEAN JAURES - VANVES;VANVES;92075;85  RUE JEAN JAURES;;IES;Type 2 et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.2920499370329237, 48.82545006714658], ""type"": ""Point""}";48.82545006714658, 2.2920499370329237
IRVE90;;13 AVENUE DE VERDUN - VANVES;VANVES;92075;13  AVENUE DE VERDUN;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.29390705355023, 48.82021814856589], ""type"": ""Point""}";48.82021814856589, 2.29390705355023
IRVE66;255;67 RUE DE VERSAILLES - VILLE-D'AVRAY;VILLE D'AVRAY;92077;67  RUE DE VERSAILLES;;Schneider - Evlink;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.1815875990121913, 48.821748877192896], ""type"": ""Point""}";48.821748877192896, 2.1815875990121913
IRVE89;;8 AVENUE VICTOR BASCH - VANVES;VANVES;92075;8  AVENUE VICTOR BASCH;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Semi-accélérée - 7kW;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.290996612499168, 48.81831900966674], ""type"": ""Point""}";48.81831900966674, 2.290996612499168
IRVE17;132;1 PLACE JEAN JAURES - MEUDON;MEUDON;92048;1  PLACE JEAN JAURES;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Normale - 7kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.240540434816478, 48.80803342327226], ""type"": ""Point""}";48.80803342327226, 2.240540434816478
IRVE15;;21 BOULEVARD DES ILES - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;21  BOULEVARD DES ILES;;IES;2EU et 2EF;Voirie;6;;En service;;Semi-accélérée - 7kW;e55c;e55c;6;Gratuit;2020;"{""coordinates"": [2.249936949436162, 48.822583124562144], ""type"": ""Point""}";48.822583124562144, 2.249936949436162
